frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
12,5.0,1104.13009618502 551.6719687202226 1565.4081016472876 888.6614177966119,1234.5267333984375 767.2450561523438 1315.6029052734375 815.4135131835938,0.6556233167648315,SPF-787,0.96644526720047
12,6.0,780.423456814247 822.8128795899139 1068.7085887716435 1072.294287261868,899.329833984375 850.3138427734375 960.823974609375 893.6494140625,0.24720998108386993,RAFE,0.607909619808197
13,1.0,243.5461043250445 478.8179430195241 662.5737785687493 918.0411556807524,431.9146728515625 711.2030639648438 510.5728454589844 766.3262329101562,0.6481658816337585,SPF-9A9,0.9446996450424194
13,5.0,1108.6941163170561 547.3809034226547 1563.912117573548 885.4770298375281,1238.30712890625 769.0537109375 1320.11767578125 817.9307861328125,0.6101388931274414,SPF-787,0.9416468739509583
14,5.0,1108.01779196519 545.78485398045 1559.7694013248852 885.1215903288075,1232.83544921875 769.0989990234375 1313.997314453125 816.116455078125,0.6555007696151733,SPF-787,0.9692451357841492
14,1.0,241.7359844376248 471.7027286066 660.20814688424 914.7552665898797,426.6495666503906 712.5769653320312 512.7803955078125 758.745849609375,0.5369086265563965,SPF-9A9,0.9715904593467712
14,6.0,782.9074568118666 818.5976886482949 1074.8969192346503 1076.366240474426,898.03759765625 852.0891723632812 962.6431884765625 895.0680541992188,0.21506895124912262,RAFE,0.6661229729652405
15,5.0,1107.5753003320629 545.6215493421125 1558.888803137289 886.4638264363409,1231.6258544921875 768.3677978515625 1315.0406494140625 815.7763671875,0.5864490270614624,SPF-787,0.9430244565010071
15,1.0,244.27842543836584 470.9869627795 667.0160855383257 916.5383254192649,431.02386474609375 713.9547729492188 524.873291015625 761.3118896484375,0.5134637951850891,SPF-9A9,0.9489210844039917
16,5.0,1106.1342396364878 546.53387780101 1556.4759623413668 888.5122712356435,1228.87646484375 771.7613525390625 1314.1424560546875 821.337890625,0.6664209365844727,SPF-787,0.9561744928359985
16,1.0,241.071445218166 474.4705724443555 659.0991595863921 917.3220248361141,426.1138916015625 716.69287109375 517.296142578125 764.738037109375,0.534589946269989,SPF-9A9,0.9241169691085815
16,6.0,783.6998426987902 820.4457186354477 1077.3659006036485 1079.3630294657123,904.7883911132812 857.2232666015625 965.6823120117188 898.9720458984375,0.32327285408973694,RAFE,0.5767861008644104
17,5.0,1108.3342077974755 548.6706591665439 1556.9097938550497 891.0728858532174,1236.298583984375 772.6409912109375 1318.826171875 821.7388916015625,0.6573689579963684,SPF-787,0.9531468749046326
17,1.0,247.9411498194911 482.2155091437244 672.0985038185869 923.6831002923764,431.4081115722656 714.9559936523438 519.571533203125 763.9271850585938,0.4245378077030182,SPF-9A9,0.8950842022895813
17,6.0,788.2121650920885 823.89445686127 1080.164050441301 1081.3893587774887,906.890625 860.852783203125 970.0975341796875 899.912109375,0.3111281394958496,RAFE,0.6710057258605957
